Item,r,p-value,Keterangan
D1,0.48607003923801684,9.991667552969995e-52,Valid
D2,0.5465100849376427,1.638632494063628e-67,Valid
D3,0.532179267231441,1.778725340741698e-63,Valid
D4,0.5879178216517804,2.4370540653983246e-80,Valid
D5,0.6228778033009188,1.0429501558268498e-92,Valid
D6,0.6938555579809386,2.434761459002383e-123,Valid
D7,0.6715993854549338,8.170414125343738e-113,Valid
